Major Occupation,Grouping
Management occupations,11-0000
Business and financial operations occupations,13-0000
Computer and mathematical occupations,15-0000
Architecture and engineering occupations,17-0000
"Life, physical, and social science occupations",19-0000
Community and social service occupations,21-0000
Legal occupations,23-0000
"Education, training, and library occupations",25-0000
"Arts, design, entertainment, sports, and media occupations",27-0000
Healthcare practitioners and technical occupations,29-0000
Healthcare support occupations,31-0000
Protective service occupations,33-0000
Food preparation and serving related occupations,35-0000
Building and grounds cleaning and maintenance occupations,37-0000
Personal care and service occupations,39-0000
Sales and related occupations,41-0000
Office and administrative support occupations,43-0000
"Farming, fishing, and forestry occupations",45-0000
Construction and extraction occupations,47-0000
"Installation, maintenance, and repair occupations",49-0000
Production occupations,51-0000
Transportation and material moving occupations,53-0000
